category,defect_type,image_path,mask_path,image_width,image_height,defect_area_pixels,image_area_pixels,defect_area_ratio,defect_area_percent_of_full_image
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\000.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\000_mask.png,900,900,88192,810000,0.10887901234567901,10.8879012345679
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\001.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\001_mask.png,900,900,76641,810000,0.09461851851851852,9.461851851851852
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\002.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\002_mask.png,900,900,125835,810000,0.15535185185185185,15.535185185185185
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\003.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\003_mask.png,900,900,222091,810000,0.27418641975308644,27.418641975308645
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\004.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\004_mask.png,900,900,33132,810000,0.040903703703703706,4.090370370370371
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\005.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\005_mask.png,900,900,33201,810000,0.04098888888888889,4.098888888888888
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\006.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\006_mask.png,900,900,123810,810000,0.15285185185185185,15.285185185185185
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\007.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\007_mask.png,900,900,130952,810000,0.16166913580246914,16.166913580246913
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\008.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\008_mask.png,900,900,105614,810000,0.13038765432098764,13.038765432098764
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\009.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\009_mask.png,900,900,70875,810000,0.0875,8.75
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\010.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\010_mask.png,900,900,90028,810000,0.11114567901234568,11.114567901234567
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\011.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\011_mask.png,900,900,60540,810000,0.07474074074074075,7.474074074074075
