dataset,category,split,label,image_path,mask_path,has_mask
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0000.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0001.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0002.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0003.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0004.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0005.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0006.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0007.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0008.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0009.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0010.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0011.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0012.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0013.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0014.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0015.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0016.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0017.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0018.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0019.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0020.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0021.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0022.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0023.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0024.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0025.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0026.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0027.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0028.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0029.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0030.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0031.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0032.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0033.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0034.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0035.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0036.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0037.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0038.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0039.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0040.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0041.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0042.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0043.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0044.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0045.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0046.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0047.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0048.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0049.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0050.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0051.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0052.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0053.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0054.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0055.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0056.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0057.bmp,,False
BTAD,01,train,normal,D:\patchcore\data\BTAD\BTech_Dataset_transformed\01\train\ok\0058.bmp,,False
