dataset,category,split,label,image_path,mask_path,has_mask,image_width,image_height,image_area_pixels,defect_area_pixels,defect_area_ratio,defect_area_percent_of_full_image
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10000.png,D:\patchcore\data\KolektorSDD2\train\10000_GT.png,True,229,645,147705,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10001.png,D:\patchcore\data\KolektorSDD2\train\10001_GT.png,True,228,633,144324,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10002.png,D:\patchcore\data\KolektorSDD2\train\10002_GT.png,True,230,647,148810,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10003.png,D:\patchcore\data\KolektorSDD2\train\10003_GT.png,True,229,634,145186,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10004.png,D:\patchcore\data\KolektorSDD2\train\10004_GT.png,True,228,632,144096,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10005.png,D:\patchcore\data\KolektorSDD2\train\10005_GT.png,True,230,628,144440,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10006.png,D:\patchcore\data\KolektorSDD2\train\10006_GT.png,True,233,642,149586,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10007.png,D:\patchcore\data\KolektorSDD2\train\10007_GT.png,True,229,640,146560,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10008.png,D:\patchcore\data\KolektorSDD2\train\10008_GT.png,True,228,634,144552,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10009.png,D:\patchcore\data\KolektorSDD2\train\10009_GT.png,True,231,643,148533,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10010.png,D:\patchcore\data\KolektorSDD2\train\10010_GT.png,True,229,635,145415,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10011.png,D:\patchcore\data\KolektorSDD2\train\10011_GT.png,True,230,638,146740,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10012.png,D:\patchcore\data\KolektorSDD2\train\10012_GT.png,True,230,639,146970,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10013.png,D:\patchcore\data\KolektorSDD2\train\10013_GT.png,True,229,642,147018,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10014.png,D:\patchcore\data\KolektorSDD2\train\10014_GT.png,True,229,646,147934,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10015.png,D:\patchcore\data\KolektorSDD2\train\10015_GT.png,True,230,636,146280,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10016.png,D:\patchcore\data\KolektorSDD2\train\10016_GT.png,True,229,634,145186,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10017.png,D:\patchcore\data\KolektorSDD2\train\10017_GT.png,True,231,645,148995,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10018.png,D:\patchcore\data\KolektorSDD2\train\10018_GT.png,True,230,643,147890,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10019.png,D:\patchcore\data\KolektorSDD2\train\10019_GT.png,True,233,626,145858,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10020.png,D:\patchcore\data\KolektorSDD2\train\10020_GT.png,True,229,642,147018,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,anomaly,D:\patchcore\data\KolektorSDD2\train\10021.png,D:\patchcore\data\KolektorSDD2\train\10021_GT.png,True,228,649,147972,3346,0.022612386127105127,2.2612386127105126
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10022.png,D:\patchcore\data\KolektorSDD2\train\10022_GT.png,True,230,637,146510,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10023.png,D:\patchcore\data\KolektorSDD2\train\10023_GT.png,True,230,652,149960,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10024.png,D:\patchcore\data\KolektorSDD2\train\10024_GT.png,True,230,628,144440,0,0.0,0.0
KolektorSDD2,Kolektor_surface,train,normal,D:\patchcore\data\KolektorSDD2\train\10025.png,D:\patchcore\data\KolektorSDD2\train\10025_GT.png,True,228,636,145008,0,0.0,0.0
