dataset,category,split,label,anomaly_type,image_path,mask_path,has_mask
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\000.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\001.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\002.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\003.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\004.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\005.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\006.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\007.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\008.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\009.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\010.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\011.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\012.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\013.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\014.png,,False
MVTec_LOCO_AD,breakfast_box,train,normal,none,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\train\good\015.png,,False
