category,defect_mask_count,avg_defect_area_percent_of_full_image,median_defect_area_percent_of_full_image,min_defect_area_percent_of_full_image,max_defect_area_percent_of_full_image,std_defect_area_percent_of_full_image
fryum,100,3.4574006666666666,0.2134,0.006,20.627000000000002,6.536665181775056
pipe_fryum,100,1.873266897746967,0.16224503399546725,0.01639781362485002,27.333888814824693,5.438065679579558
cashew,100,1.6888075481369942,0.14734111855103108,0.006474332276081547,31.956569912109273,6.053767847099848
pcb4,100,1.3228539678982307,0.9298093957439543,0.08030778425220379,3.73998153721372,1.0154627287441977
pcb1,100,0.9311939185770961,0.19823202066192722,0.07655031019517,12.725856697819315,2.2120061049693303
chewinggum,100,0.8474062155914995,0.5330068330449573,0.032925519010154926,3.3060820231998274,0.785239624256765
capsules,100,0.5442293333333333,0.14923333333333333,0.007866666666666666,1.9111333333333334,0.6458249244380126
pcb3,100,0.5068101792573624,0.23840962441314553,0.0736235595390525,3.7952811566367908,0.6857641246936148
pcb2,100,0.41304949809622704,0.26559629363367676,0.05438400298213382,3.578893415342013,0.5359529886718172
candle,100,0.27024588721034437,0.15346279819058595,0.0020003840737421582,1.5610330516792557,0.3453043787343725
macaroni1,100,0.072476,0.05183333333333334,0.008466666666666666,0.4789333333333333,0.06944221250231455
macaroni2,100,0.058234666666666664,0.047,0.009066666666666667,0.19026666666666667,0.040883387289080586
