dataset,category,defect_type,split,label,image_path,mask_path,image_width,image_height,image_area_pixels,defect_area_pixels,defect_area_ratio,defect_area_percent_of_full_image
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\000.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\000.png,1284,1168,1499712,1425,0.0009501824350275253,0.09501824350275254
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\001.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\001.png,1284,1168,1499712,3232,0.002155080442111552,0.2155080442111552
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\002.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\002.png,1284,1168,1499712,3225,0.0021504128792728203,0.21504128792728203
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\003.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\003.png,1284,1168,1499712,1839,0.0012262354372039432,0.12262354372039432
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\004.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\004.png,1284,1168,1499712,4993,0.003329305893398199,0.3329305893398199
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\005.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\005.png,1284,1168,1499712,2545,0.0016969924892245977,0.16969924892245977
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\006.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\006.png,1284,1168,1499712,6090,0.004060779669696582,0.40607796696965814
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\007.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\007.png,1284,1168,1499712,2585,0.0017236642768744931,0.1723664276874493
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\008.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\008.png,1284,1168,1499712,2234,0.0014896193402466607,0.14896193402466607
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\009.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\009.png,1284,1168,1499712,4709,0.0031399362010839415,0.31399362010839416
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\010.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\010.png,1284,1168,1499712,4701,0.0031346018435539622,0.31346018435539624
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\011.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\011.png,1284,1168,1499712,6583,0.004389509452481543,0.4389509452481543
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\012.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\012.png,1284,1168,1499712,3321,0.0022144251696325696,0.22144251696325695
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\013.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\013.png,1284,1168,1499712,1495,0.0009968580634148424,0.09968580634148423
